from,to,feature,n_trans,n_probes,cohens_d,pval,pval_bonf
Isocortex,void_fluid,trough_val,66,66,0.5412,2.2552462929529765e-14,1.713987182644262e-11
CNU,TH,alpha_std,24,24,0.5331,0.014919884880511278,1.0
CNU,TH,csd_pc1,24,24,0.5298,0.0002091103485019004,0.1589238648614443
CB,void_fluid,peak_val,22,22,0.5263,3.124121725194287e-12,2.374332511147658e-09
Isocortex,void_fluid,tip_val,66,66,0.5254,2.4720822094281915e-14,1.8787824791654257e-11
CNU,HY,psd_pc0,29,23,0.515,1.7009189592791458e-10,1.2926984090521508e-07
fiber tracts,MB,rms_ap,21,21,0.5124,2.5562719555610455e-12,1.9427666862263944e-09
CNU,TH,aperiodic_exponent,24,24,0.5048,0.004116773072943152,1.0
MB,HPF,peak_val,113,112,0.5041,1.8777187553879059e-57,1.4270662540948084e-54
MB,HPF,cor_ratio,113,112,0.5035,1.3248754836558635e-44,1.0069053675784563e-41
CB,void_fluid,depolarisation_slope,22,22,0.5027,2.5600697734476e-10,1.9456530278201762e-07
CB,MB,tip_val,26,24,0.5012,1.841435064803516e-11,1.399490649250672e-08
Isocortex,void_fluid,repolarisation_slope,66,66,0.4968,4.3612095578610143e-13,3.314519263974371e-10
CNU,TH,peak_time_secs,24,24,0.4961,0.003997959568747777,1.0
OLF,CTXsp,tip_time_secs,71,70,0.4947,1.6379374827089253e-41,1.2448324868587832e-38
TH,CNU,csd_pc1,22,22,0.493,0.0022423300069483506,1.0
Isocortex,void_fluid,depolarisation_slope,66,66,0.4928,1.292017043383326e-12,9.819329529713277e-10
CB,MB,tip_time_secs,26,24,0.4864,4.311259611372642e-11,3.276557304643208e-08
CB,void_fluid,peak_time_secs,22,22,0.47,1.655952591216064e-11,1.2585239693242087e-08
fiber tracts,MB,recovery_slope,21,21,0.4571,3.6818540318576265e-24,2.798209064211796e-21
MB,Isocortex,aperiodic_offset,43,43,0.4554,3.036588995151122e-27,2.3078076363148526e-24
CNU,Isocortex,aperiodic_offset,110,110,0.4481,6.019249895555602e-20,4.574629920622258e-17
void_fluid,void,rms_ap,74,72,0.4398,1.1953775967122706e-12,9.084869735013256e-10
CB,void_fluid,trough_val,22,22,0.433,3.6210946086916275e-10,2.752031902605637e-07
CB,MB,depolarisation_slope,26,24,0.4295,6.284660849857935e-09,4.776342245892031e-06
MB,Isocortex,cor_ratio,43,43,0.428,1.652045049714164e-14,1.2555542377827647e-11
HPF,MB,alpha_std,18,18,0.4179,6.3794074608379e-05,0.04848349670236804
Isocortex,void_fluid,recovery_slope,66,66,0.4157,5.083811140825026e-11,3.863696467027019e-08
CNU,fiber tracts,trough_val,16,16,0.4144,0.0005559444649179027,0.4225177933376061
CTXsp,Isocortex,csd_pc1,18,12,0.4125,6.609959849781058e-06,0.0050235694858336045
CNU,HY,tip_time_secs,29,23,0.4097,5.5778358640670874e-09,4.239155256690986e-06
fiber tracts,VS,psd_pc0,16,14,0.4086,2.7913664899638287e-07,0.00021214385323725099
CB,void_fluid,tip_time_secs,22,22,0.4053,0.0002637382867432189,0.20044109792484638
CNU,Isocortex,psd_pc0,110,110,0.3998,2.696211767390366e-21,2.049120943216678e-18
CNU,HY,aperiodic_offset,29,23,0.3997,6.249998276692191e-06,0.0047499986902860645
CNU,Isocortex,cor_ratio,110,110,0.3968,3.76216302196948e-12,2.859243896696805e-09
HY,MB,rms_ap,24,21,0.396,0.0188697821974083,1.0
CNU,OLF,depolarisation_slope,36,31,0.3855,5.506942741704282e-12,4.185276483695255e-09
CNU,TH,aperiodic_offset,24,24,0.3846,0.09438117716117878,1.0
OLF,CNU,psd_pc0,20,15,0.3833,7.902279050425478e-07,0.0006005732078323364
fiber tracts,root,alpha_std,18,13,0.3829,0.0021696538678924416,1.0
fiber tracts,TH,alpha_std,20,20,0.3824,1.3738786039255564e-05,0.010441477389834228
MB,HPF,tip_val,113,112,0.3813,4.236094435637179e-43,3.2194317710842562e-40
CB,MB,peak_val,26,24,0.3773,7.950498611700804e-08,6.042378944892611e-05
fiber tracts,MB,tip_time_secs,21,21,0.3698,8.357081750495182e-05,0.06351382130376339
CNU,fiber tracts,peak_val,16,16,0.3697,0.0002011752598779612,0.1528931975072505
HPF,MB,peak_val,18,18,0.3679,0.007381782441698789,1.0
MB,HY,csd_pc0,28,27,0.3674,7.114952000826299e-11,5.407363520627988e-08
MB,Isocortex,rms_ap,43,43,0.3656,6.203497736414829e-12,4.71465827967527e-09
fiber tracts,MB,depolarisation_slope,21,21,0.3624,4.155037243871776e-10,3.15782830534255e-07
OLF,CNU,tip_time_secs,20,15,0.3622,0.00031360235759385655,0.238337791771331
fiber tracts,root,cor_ratio,18,13,0.3584,0.00010669201932614733,0.08108593468787197
CNU,OLF,tip_val,36,31,0.3561,5.0840711913586464e-11,3.863894105432571e-08
HPF,MB,alpha_mean,18,18,0.3547,0.00022593707656734004,0.17171217819117843
fiber tracts,TH,alpha_mean,20,20,0.3526,0.00024658522149699025,0.18740476833771258
CB,void_fluid,repolarisation_slope,22,22,0.3526,8.993526208723399e-08,6.835079918629784e-05
fiber tracts,VS,depolarisation_slope,16,14,0.3489,0.01229966431433201,1.0
CB,MB,trough_time_secs,26,24,0.3488,2.1309449525401883e-06,0.001619518163930543
OLF,CTXsp,recovery_time_secs,71,70,0.3485,9.425062903571812e-20,7.163047806714577e-17
CB,MB,recovery_time_secs,26,24,0.3457,2.2453105397810856e-06,0.0017064360102336251
CNU,Isocortex,aperiodic_exponent,110,110,0.3447,1.0025342407797049e-13,7.619260229925757e-11
OLF,CTXsp,trough_time_secs,71,70,0.344,2.9039816749622057e-19,2.2070260729712762e-16
CNU,OLF,tip_time_secs,36,31,0.3415,1.03639932429343e-09,7.876634864630068e-07
CTXsp,HPF,tip_time_secs,28,28,0.3374,7.935133759372239e-07,0.0006030701657122902
HPF,Isocortex,trough_time_secs,317,312,0.3371,1.5020417112415577e-54,1.1415517005435839e-51
fiber tracts,VS,recovery_slope,16,14,0.3362,0.0010390245636778365,0.7896586683951557
HPF,MB,csd_pc1,18,18,0.3354,6.215092017704302e-06,0.00472346993345527
MB,Isocortex,csd_pc1,43,43,0.335,7.679674118812875e-09,5.836552330297785e-06
OLF,CNU,cor_ratio,20,15,0.3341,7.0855235595713e-05,0.05384997905274187
HPF,Isocortex,recovery_time_secs,317,312,0.3318,1.5627340795245008e-53,1.1876779004386205e-50
CNU,Isocortex,alpha_mean,110,110,0.3307,3.065285692085764e-06,0.0023296171259851806
fiber tracts,VS,tip_val,16,14,0.3302,0.003967182692457593,1.0
CB,MB,trough_val,26,24,0.3266,7.839965535384097e-07,0.0005958373806891914
MB,Isocortex,recovery_time_secs,43,43,0.3233,7.689556738769572e-15,5.844063121464875e-12
HPF,fiber tracts,alpha_mean,20,20,0.3221,9.325233821161275e-06,0.007087177704082569
CB,MB,repolarisation_slope,26,24,0.322,1.3450183827891226e-06,0.0010222139709197332
MB,Isocortex,psd_pc1,43,43,0.3192,1.07021262885038e-06,0.0008133615979262889
HPF,Isocortex,csd_pc1,317,312,0.3192,1.510275393673912e-43,1.1478092991921732e-40
CNU,TH,tip_time_secs,24,24,0.3178,0.01665511304029482,1.0
CTXsp,CNU,aperiodic_offset,58,53,0.3155,1.2352896704867596e-11,9.388201495699373e-09
fiber tracts,VS,repolarisation_slope,16,14,0.3152,0.001902833824797103,1.0
MB,Isocortex,trough_time_secs,43,43,0.3142,1.5435277231184691e-13,1.1730810695700365e-10
CTXsp,Isocortex,peak_val,18,12,0.3122,0.0012375988720221426,0.9405751427368283
HPF,MB,trough_val,18,18,0.3111,0.024214456618648458,1.0
HY,MB,alpha_mean,24,21,0.3085,0.15437832005073218,1.0
OLF,CTXsp,cor_ratio,71,70,0.3071,2.783890639543264e-16,2.1157568860528806e-13
HPF,Isocortex,aperiodic_exponent,317,312,0.3059,1.624296544373266e-38,1.234465373723682e-35
OLF,CTXsp,csd_pc0,71,70,0.3055,9.290936367497908e-19,7.06111163929841e-16
CTXsp,HPF,alpha_std,28,28,0.3052,0.042408996530792525,1.0
HY,CNU,tip_val,34,26,0.3028,0.013490626356016245,1.0
Isocortex,void_fluid,peak_time_secs,66,66,0.2992,3.1513665806098535e-12,2.3950386012634886e-09
CTXsp,Isocortex,tip_val,18,12,0.2986,0.0007507306278018809,0.5705552771294295
fiber tracts,MB,alpha_std,21,21,0.2983,0.33830303863661604,1.0
CNU,HY,depolarisation_slope,29,23,0.2946,0.029305013381480467,1.0
fiber tracts,HB,tip_time_secs,17,17,0.2946,0.0033876439239894913,1.0
OLF,CNU,rms_ap,20,15,0.2909,3.5384440766533615e-05,0.026892174982565548
CTXsp,CNU,psd_pc0,58,53,0.2896,7.868908304428275e-11,5.980370311365489e-08
HPF,Isocortex,tip_time_secs,317,312,0.2888,8.478323543449488e-39,6.44352589302161e-36
CTXsp,Isocortex,rms_ap,18,12,0.2884,0.001311509305587535,0.9967470722465267
fiber tracts,VS,trough_val,16,14,0.2869,0.0021447116783514662,1.0
HY,MB,alpha_std,24,21,0.2864,0.8080218917663863,1.0
HY,CNU,psd_pc0,34,26,0.2838,5.674574381857181e-06,0.004312676530211458
OLF,CTXsp,tip_val,71,70,0.2834,4.542255599018258e-15,3.452114255253876e-12
void_fluid,void,aperiodic_exponent,74,72,0.2818,5.829513458199853e-07,0.00044304302282318877
MB,Isocortex,psd_pc0,43,43,0.2816,4.045283055439985e-14,3.0744151221343884e-11
HY,CNU,aperiodic_offset,34,26,0.2815,1.4903690494523535e-06,0.0011326804775837888
HPF,MB,depolarisation_slope,18,18,0.2813,0.03259859530046049,1.0
CTXsp,CNU,alpha_mean,58,53,0.2793,1.1656747006081172e-12,8.859127724621691e-10
fiber tracts,VS,peak_val,16,14,0.2779,0.005888050939274252,1.0
CB,MB,recovery_slope,26,24,0.2773,1.5478360557301082e-07,0.00011763554023548822
CNU,HY,tip_val,29,23,0.2773,0.0015461227928400328,1.0
Isocortex,void,tip_time_secs,97,97,0.2759,7.09522405087208e-17,5.3923702786627805e-14
Isocortex,void_fluid,trough_time_secs,66,66,0.2745,4.353822662640439e-06,0.003308905223606734
fiber tracts,MB,psd_pc0,21,21,0.2745,0.0001405354722828536,0.10680695893496873
HPF,fiber tracts,cor_ratio,20,20,0.2737,0.00045318977399334934,0.3444242282349455
MB,HPF,aperiodic_exponent,113,112,0.2709,4.024039858029143e-17,3.0582702921021487e-14
CNU,OLF,peak_time_secs,36,31,0.2705,3.623981523244557e-09,2.7542259576658635e-06
CNU,OLF,peak_val,36,31,0.2704,1.883075585364023e-08,1.4311374448766575e-05
CNU,TH,depolarisation_slope,24,24,0.2696,0.07909229165269774,1.0
root,fiber tracts,rms_ap,25,19,0.2696,0.0014067917832500433,1.0
HPF,fiber tracts,csd_pc0,20,20,0.2678,0.011013800130704975,1.0
HPF,Isocortex,depolarisation_slope,317,312,0.2665,8.921417948692256e-22,6.7802776410061145e-19
OLF,Isocortex,rms_ap,72,63,0.2662,2.45415160468506e-09,1.8651552195606456e-06
Isocortex,void_fluid,recovery_time_secs,66,66,0.2645,9.733689307916097e-06,0.0073976038740162335
CNU,Isocortex,rms_ap,110,110,0.2645,2.1943851437312224e-07,0.0001667732709235729
CTXsp,Isocortex,trough_val,18,12,0.2643,0.013157466243950814,1.0
CB,fiber tracts,psd_pc0,16,16,0.2638,0.005408065598751243,1.0
CB,void_fluid,aperiodic_exponent,22,22,0.2619,4.379542969042585e-06,0.0033284526564723647
CTXsp,Isocortex,repolarisation_slope,18,12,0.2619,0.01634905342279679,1.0
CNU,Isocortex,peak_val,110,110,0.2608,1.6336558829590835e-05,0.012415784710489035
fiber tracts,HB,csd_pc1,17,17,0.2606,0.14727029886872878,1.0
fiber tracts,VS,aperiodic_offset,16,14,0.2606,7.853283916503627e-05,0.059684957765427565
MB,TH,rms_ap,110,77,0.2596,4.016468738545859e-19,3.0525162412948527e-16
root,fiber tracts,aperiodic_exponent,25,19,0.2592,0.01375713156754477,1.0
fiber tracts,HB,tip_val,17,17,0.2588,0.001278750437427374,0.9718503324448042
HPF,Isocortex,repolarisation_slope,317,312,0.2583,2.477869076861162e-22,1.883180498414483e-19
OLF,CTXsp,psd_pc0,71,70,0.2582,2.848326298628647e-15,2.1647279869577717e-12
fiber tracts,root,alpha_mean,18,13,0.2579,0.004875658143175494,1.0
TH,CNU,psd_pc1,22,22,0.2577,0.40834296926375835,1.0
HY,CNU,peak_time_secs,34,26,0.2576,1.7445518645461315e-08,1.32585941705506e-05
CTXsp,CNU,alpha_std,58,53,0.2566,2.44236269412646e-09,1.8561956475361095e-06
MB,HPF,alpha_mean,113,112,0.2565,1.9850545996293882e-17,1.508641495718335e-14
fiber tracts,VS,alpha_std,16,14,0.2541,0.655118154828456,1.0
CNU,OLF,repolarisation_slope,36,31,0.2538,1.9461643649732213e-07,0.0001479084917379648
fiber tracts,MB,aperiodic_offset,21,21,0.2536,0.00011177877341155378,0.08495186779278087
CNU,fiber tracts,recovery_time_secs,16,16,0.2532,0.060671845693510765,1.0
HY,MB,aperiodic_exponent,24,21,0.2526,0.07415255725407888,1.0
CNU,Isocortex,trough_val,110,110,0.2516,2.0840320424120617e-05,0.01583864352233167
CNU,Isocortex,repolarisation_slope,110,110,0.2502,8.68795765843323e-08,6.602847820409255e-05
CNU,OLF,trough_val,36,31,0.2497,4.768705992792542e-07,0.00036242165545223316
CB,void_fluid,cor_ratio,22,22,0.2486,0.11822021438070564,1.0
fiber tracts,HB,peak_val,17,17,0.2458,0.004170933644898419,1.0
CNU,fiber tracts,trough_time_secs,16,16,0.2458,0.07011792383616522,1.0
MB,HPF,peak_time_secs,113,112,0.2454,2.7147939381023807e-23,2.0632433929578093e-20
CB,fiber tracts,aperiodic_exponent,16,16,0.244,0.013645182743975175,1.0
HPF,Isocortex,psd_pc1,317,312,0.2428,6.2528165177573614e-31,4.752140553495595e-28
fiber tracts,VS,tip_time_secs,16,14,0.2426,0.11265099965362754,1.0
OLF,CNU,recovery_slope,20,15,0.2418,0.23365400101233125,1.0
TH,HPF,aperiodic_exponent,208,206,0.2409,1.360149957991528e-25,1.0337139680735614e-22
CTXsp,Isocortex,recovery_slope,18,12,0.2408,0.029830957374166005,1.0
CTXsp,HPF,csd_pc1,28,28,0.2402,0.0408140603189322,1.0
TH,HPF,alpha_std,208,206,0.2385,1.0038648494170974e-59,7.629372855569941e-57
root,fiber tracts,psd_pc0,25,19,0.236,0.00616005036300218,1.0
MB,TH,cor_ratio,110,77,0.2355,1.4567175437872373e-11,1.1071053332783003e-08
void_fluid,void,trough_val,74,72,0.2346,0.008198020346547706,1.0
Isocortex,void,alpha_std,97,97,0.231,0.3159894213201978,1.0
OLF,CNU,aperiodic_offset,20,15,0.2304,0.009717158635093754,1.0
CTXsp,HPF,csd_pc0,28,28,0.2303,2.9443195800715376e-05,0.022376828808543685
CB,fiber tracts,psd_pc1,16,16,0.2284,0.0006357308361898709,0.48315543550430184
HPF,fiber tracts,recovery_slope,20,20,0.2271,1.834487079568853e-06,0.0013942101804723282
void_fluid,void,repolarisation_slope,74,72,0.2264,0.018181236564546042,1.0
CB,MB,peak_time_secs,26,24,0.2263,0.0008473446703296786,0.6439819494505558
fiber tracts,MB,aperiodic_exponent,21,21,0.2262,9.997016690134378e-06,0.007597732684502127
CTXsp,HPF,psd_pc1,28,28,0.2228,0.01796757971547594,1.0
CB,void_fluid,recovery_slope,22,22,0.2218,2.0128623196463497e-05,0.015297753629312258
OLF,Isocortex,trough_time_secs,72,63,0.2213,7.322446826450834e-08,5.5650595881026336e-05
MB,Isocortex,tip_val,43,43,0.2206,3.7478591692847866e-06,0.0028483729686564377
OLF,CTXsp,peak_time_secs,71,70,0.2196,3.4845889292566895e-14,2.648287586235084e-11
CTXsp,HPF,aperiodic_exponent,28,28,0.219,0.01089450050094883,1.0
MB,HY,tip_time_secs,28,27,0.2189,0.0021339451742245145,1.0
HY,CNU,psd_pc1,34,26,0.2185,3.487839092186477e-05,0.026507577100617227
HPF,fiber tracts,peak_val,20,20,0.2181,1.3965981206092681e-06,0.0010614145716630438
CB,MB,csd_pc1,26,24,0.2177,0.0022862636453993257,1.0
OLF,Isocortex,recovery_time_secs,72,63,0.2176,1.1348690199593369e-07,8.62500455169096e-05
CTXsp,HPF,alpha_mean,28,28,0.2169,0.36621331336618024,1.0
void_fluid,void,recovery_slope,74,72,0.2152,0.027132294755614832,1.0
CNU,Isocortex,psd_pc1,110,110,0.2152,2.2163670183154502e-07,0.00016844389339197422
fiber tracts,VS,alpha_mean,16,14,0.2147,0.6973282319987354,1.0
MB,HPF,csd_pc1,113,112,0.2135,1.4019767734043567e-11,1.0655023477873112e-08
CNU,Isocortex,alpha_std,110,110,0.2122,1.4807180833967669e-05,0.011253457433815428
Isocortex,void_fluid,tip_time_secs,66,66,0.2115,1.2003818833038668e-05,0.009122902313109388
OLF,CNU,repolarisation_slope,20,15,0.2111,0.13648504900707026,1.0
OLF,CNU,alpha_mean,20,15,0.2103,0.012102155619139124,1.0
HY,CNU,aperiodic_exponent,34,26,0.2096,0.0001353484770522697,0.10286484255972497
HPF,fiber tracts,aperiodic_exponent,20,20,0.2092,0.0006503718305889326,0.4942825912475887
HPF,fiber tracts,depolarisation_slope,20,20,0.2091,0.00021221339805296277,0.1612821825202517
fiber tracts,HB,depolarisation_slope,17,17,0.2087,0.02881429049153712,1.0
OLF,CTXsp,rms_ap,71,70,0.2082,3.5281923842950966e-08,2.6814262120642734e-05
CTXsp,Isocortex,depolarisation_slope,18,12,0.2064,0.009620612495189576,1.0
HY,TH,trough_time_secs,80,79,0.2063,2.5604087000017356e-11,1.945910612001319e-08
HPF,fiber tracts,repolarisation_slope,20,20,0.2053,2.6721548589141518e-05,0.020308376927747552
OLF,Isocortex,psd_pc0,72,63,0.2053,5.325631194837018e-10,4.0474797080761337e-07
