pid,variant,cr,r2,r2_null,n_bins
1a276285-8b0e-4cc9-9f0a-a3a002978724,uncompressed,1.0,0.13446429182166286,-0.1506694732247061,99381
1a276285-8b0e-4cc9-9f0a-a3a002978724,default,100.34689999447252,0.1330720232428504,-0.13518440912942667,99381
1a276285-8b0e-4cc9-9f0a-a3a002978724,aggressive,231.04420629201684,0.11471935954299906,-0.12895283531079524,99381
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,uncompressed,1.0,0.0541074653231749,-0.24824729121630323,105141
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,default,103.80633294077599,0.04000032018526711,-0.24100678954676164,105141
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,aggressive,259.38061012921645,0.029556200750703532,-0.19890880135759254,105141
6638cfb3-3831-4fc2-9327-194b76cf22e1,uncompressed,1.0,0.02389362227880376,-0.12429670489237274,85916
6638cfb3-3831-4fc2-9327-194b76cf22e1,default,134.49565386434065,0.04289174474457946,-0.10751743937315288,85916
6638cfb3-3831-4fc2-9327-194b76cf22e1,aggressive,430.24106747159215,0.00646131811183237,-0.14314772496714445,85916
749cb2b7-e57e-4453-a794-f6230e4d0226,uncompressed,1.0,0.05396379714972199,-0.2208724568980401,112453
749cb2b7-e57e-4453-a794-f6230e4d0226,default,103.00835525740854,0.06346909817545243,-0.20615732258560682,112453
749cb2b7-e57e-4453-a794-f6230e4d0226,aggressive,254.47893945579958,0.07707039233300872,-0.16353378204178887,112453
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,uncompressed,1.0,0.31488393505422085,-0.37806557469135005,92762
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,default,83.45078428546363,0.3046869950684654,-0.37538719100449425,92762
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,aggressive,230.75111243887915,0.23643566565370278,-0.34044349840052085,92762
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,uncompressed,1.0,0.038933682656009494,-0.1322905853734055,85916
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,default,97.29994366609303,0.03074738873944538,-0.1199378062691769,85916
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,aggressive,293.93842609886724,0.023907495318419736,-0.0833115634777708,85916
dab512bd-a02d-4c1f-8dbc-9155a163efc0,uncompressed,1.0,0.15741382843306517,-0.4641742060958943,73377
dab512bd-a02d-4c1f-8dbc-9155a163efc0,default,105.66858366339106,0.169041264101914,-0.3871487554351066,73377
dab512bd-a02d-4c1f-8dbc-9155a163efc0,aggressive,305.807524165004,0.16548392730410888,-0.32435005563508956,73377
dc7e9403-19f7-409f-9240-05ee57cb7aea,uncompressed,1.0,0.11036257297439045,-0.29181288761240187,99195
dc7e9403-19f7-409f-9240-05ee57cb7aea,default,82.28233698919261,0.0852397241386581,-0.2678302860621568,99195
dc7e9403-19f7-409f-9240-05ee57cb7aea,aggressive,215.71015575143596,0.06262342986494784,-0.14829405104119425,99195
e8f9fba4-d151-4b00-bee7-447f0f3e752c,uncompressed,1.0,0.18980273414030824,-0.19035071681633203,100516
e8f9fba4-d151-4b00-bee7-447f0f3e752c,default,87.70651562306718,0.13314711945702828,-0.15818801280072084,100516
e8f9fba4-d151-4b00-bee7-447f0f3e752c,aggressive,255.07177640961243,0.08386063880651362,-0.10314741535511307,100516
eebcaf65-7fa4-4118-869d-a084e84530e2,uncompressed,1.0,0.2656621520070269,-0.2745737825295845,91769
eebcaf65-7fa4-4118-869d-a084e84530e2,default,125.65185945162406,0.21952468502750955,-0.2563997703819456,91769
eebcaf65-7fa4-4118-869d-a084e84530e2,aggressive,419.7772805749999,0.18370856823222914,-0.17903351726891975,91769
fe380793-8035-414e-b000-09bfe5ece92a,uncompressed,1.0,0.1854604717725512,-0.3449419476220413,115565
fe380793-8035-414e-b000-09bfe5ece92a,default,85.24565973276694,0.1716843432593158,-0.30747153016663903,115565
fe380793-8035-414e-b000-09bfe5ece92a,aggressive,193.56112233215555,0.16186033106081665,-0.29062692490842557,115565
