pid,variant,cr,r2,r2_null,n_bins
1a276285-8b0e-4cc9-9f0a-a3a002978724,uncompressed,1.0,0.1344642918216628,-0.1506694732247061,99381
1a276285-8b0e-4cc9-9f0a-a3a002978724,default,100.34689999447252,0.1330720232428504,-0.1351844091294266,99381
1a276285-8b0e-4cc9-9f0a-a3a002978724,aggressive,231.04420629201684,0.114719359542999,-0.1289528353107952,99381
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,uncompressed,1.0,0.0541074653231749,-0.2482472912163032,105141
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,default,103.806332940776,0.0400003201852671,-0.2410067895467616,105141
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,aggressive,259.38061012921645,0.0295562007507035,-0.1989088013575925,105141
6638cfb3-3831-4fc2-9327-194b76cf22e1,uncompressed,1.0,0.0238936222788037,-0.1242967048923727,85916
6638cfb3-3831-4fc2-9327-194b76cf22e1,default,134.49565386434065,0.0428917447445794,-0.1075174393731528,85916
6638cfb3-3831-4fc2-9327-194b76cf22e1,aggressive,430.24106747159215,0.0064613181118323,-0.1431477249671444,85916
749cb2b7-e57e-4453-a794-f6230e4d0226,uncompressed,1.0,0.0539637971497219,-0.2208724568980401,112453
749cb2b7-e57e-4453-a794-f6230e4d0226,default,103.00835525740854,0.0634690981754524,-0.2061573225856068,112453
749cb2b7-e57e-4453-a794-f6230e4d0226,aggressive,254.4789394557996,0.0770703923330087,-0.1635337820417888,112453
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,uncompressed,1.0,0.3148839350542208,-0.37806557469135,92762
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,default,83.45078428546363,0.3046869950684654,-0.3753871910044942,92762
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,aggressive,230.75111243887915,0.2364356656537027,-0.3404434984005208,92762
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,uncompressed,1.0,0.0389336826560094,-0.1322905853734055,85916
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,default,97.29994366609304,0.0307473887394453,-0.1199378062691769,85916
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,aggressive,293.93842609886724,0.0239074953184197,-0.0833115634777708,85916
dab512bd-a02d-4c1f-8dbc-9155a163efc0,uncompressed,1.0,0.1574138284330651,-0.4641742060958943,73377
dab512bd-a02d-4c1f-8dbc-9155a163efc0,default,105.66858366339106,0.169041264101914,-0.3871487554351066,73377
dab512bd-a02d-4c1f-8dbc-9155a163efc0,aggressive,305.807524165004,0.1654839273041088,-0.3243500556350895,73377
dc7e9403-19f7-409f-9240-05ee57cb7aea,uncompressed,1.0,0.1103625729743904,-0.2918128876124018,99195
dc7e9403-19f7-409f-9240-05ee57cb7aea,default,82.28233698919261,0.0852397241386581,-0.2678302860621568,99195
dc7e9403-19f7-409f-9240-05ee57cb7aea,aggressive,215.71015575143596,0.0626234298649478,-0.1482940510411942,99195
e8f9fba4-d151-4b00-bee7-447f0f3e752c,uncompressed,1.0,0.1898027341403082,-0.190350716816332,100516
e8f9fba4-d151-4b00-bee7-447f0f3e752c,default,87.70651562306718,0.1331471194570282,-0.1581880128007208,100516
e8f9fba4-d151-4b00-bee7-447f0f3e752c,aggressive,255.07177640961245,0.0838606388065136,-0.103147415355113,100516
eebcaf65-7fa4-4118-869d-a084e84530e2,uncompressed,1.0,0.2656621520070269,-0.2745737825295845,91769
eebcaf65-7fa4-4118-869d-a084e84530e2,default,125.65185945162406,0.2195246850275095,-0.2563997703819456,91769
eebcaf65-7fa4-4118-869d-a084e84530e2,aggressive,419.7772805749999,0.1837085682322291,-0.1790335172689197,91769
fe380793-8035-414e-b000-09bfe5ece92a,uncompressed,1.0,0.1854604717725512,-0.3449419476220413,115565
fe380793-8035-414e-b000-09bfe5ece92a,default,85.24565973276694,0.1716843432593158,-0.307471530166639,115565
fe380793-8035-414e-b000-09bfe5ece92a,aggressive,193.56112233215555,0.1618603310608166,-0.2906269249084255,115565
1a276285-8b0e-4cc9-9f0a-a3a002978724,mild,63.56365577070524,0.13307812586560752,-0.1361070703986083,99381
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,mild,63.94466979793832,0.04622133297655695,-0.24248627771776904,105141
6638cfb3-3831-4fc2-9327-194b76cf22e1,mild,82.8713010423559,0.037607495100608346,-0.11379848020021703,85916
749cb2b7-e57e-4453-a794-f6230e4d0226,mild,65.71262475150273,0.05446616916549585,-0.22287138670232776,112453
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,mild,47.72132792037658,0.3083267414320333,-0.37726161479398596,92762
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,mild,55.29135303097874,0.03624192629744882,-0.13037492959160404,85916
dab512bd-a02d-4c1f-8dbc-9155a163efc0,mild,69.5775817847441,0.15535422328612036,-0.39381180813141087,73377
dc7e9403-19f7-409f-9240-05ee57cb7aea,mild,47.714057625645694,0.10826940901915993,-0.2808011967481988,99195
e8f9fba4-d151-4b00-bee7-447f0f3e752c,mild,54.46907446871811,0.15905132158623947,-0.1778877768603659,100516
eebcaf65-7fa4-4118-869d-a084e84530e2,mild,80.45264014494734,0.2520730516272368,-0.2808462420241299,91769
fe380793-8035-414e-b000-09bfe5ece92a,mild,54.54753158231462,0.18033243615070982,-0.3260367935622648,115565
