pid,tier,alpha,cr,cr_realized,file_bytes,r2_wheel,balanced_accuracy_choice,null_choice,balanced_accuracy_feedback,null_feedback,epsilon
1a276285-8b0e-4cc9-9f0a-a3a002978724,uncompressed,,1.0,1.0,1908991616,0.1344642918216628,0.5055555555555555,0.500521845304454,0.5679983154715228,0.4998385281385282,
1a276285-8b0e-4cc9-9f0a-a3a002978724,alpha28 (default),28.0,100.34689999447252,87.04485989865363,21931124,0.1330720232428504,0.5016812865497077,0.5011111111111112,0.539550114722198,0.5004675565175566,
1a276285-8b0e-4cc9-9f0a-a3a002978724,alpha40,40.0,114.39515478780363,83.57799886422735,22840839,0.1314286716154963,0.4989035087719298,0.5000641025641026,0.5171139380209695,0.5004850168350169,
1a276285-8b0e-4cc9-9f0a-a3a002978724,alpha55,55.0,125.98962291532288,89.53093677957823,21322145,0.1277219673818781,0.5005847953216375,0.5002018633540373,0.5042403647875461,0.4987024771524772,
1a276285-8b0e-4cc9-9f0a-a3a002978724,alpha70,70.0,134.30117298758836,93.5525227438012,20405560,0.1242697832988218,0.4978070175438596,0.5001365663322185,0.501619180389765,0.5014034391534392,
1a276285-8b0e-4cc9-9f0a-a3a002978724,"aggressive (eps450, alpha96, shipped)",96.0,231.04420629201684,188.1186735456584,10147805,0.114719359542999,0.5027777777777778,0.5000641025641026,0.500617176381749,0.4995079365079365,
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,uncompressed,,1.0,1.0,2022833792,0.0541074653231749,0.5410695857290284,0.4948131515264335,0.5622488990770345,0.5004306047487866,
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,alpha28 (default),28.0,103.806332940776,88.21887684958679,22929716,0.0400003201852671,0.5325667108948843,0.498493065897245,0.5423478313325693,0.5010317460317459,
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,alpha40,40.0,122.56098262523372,86.55684406386922,23370004,0.0397280004701192,0.5707098628925255,0.5006451507818317,0.5597695602340592,0.4978967160785343,
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,alpha55,55.0,136.8287817420952,93.18099922468696,21708651,0.036559102160475,0.5445599292348517,0.500647989575577,0.5141159437775231,0.5011430320521231,
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,alpha70,70.0,145.19248183674551,99.98639183620894,20231091,0.0349981602379432,0.5575151113076809,0.4987903946388681,0.509639862460035,0.5000237220691766,
