pid,variant,target,cr,balanced_accuracy,null,n_trials,class_balance
1a276285-8b0e-4cc9-9f0a-a3a002978724,uncompressed,choice,1.0,0.5055555555555555,0.4999427323883846,636,0.2830188679245283
1a276285-8b0e-4cc9-9f0a-a3a002978724,uncompressed,feedback,1.0,0.5679983154715228,0.497709139009139,637,0.783359497645212
1a276285-8b0e-4cc9-9f0a-a3a002978724,default,choice,100.34689999447252,0.5016812865497077,0.5005314009661835,636,0.2830188679245283
1a276285-8b0e-4cc9-9f0a-a3a002978724,default,feedback,100.34689999447252,0.539550114722198,0.5011120731120732,637,0.783359497645212
1a276285-8b0e-4cc9-9f0a-a3a002978724,aggressive,choice,231.04420629201684,0.5027777777777778,0.5002579365079365,636,0.2830188679245283
1a276285-8b0e-4cc9-9f0a-a3a002978724,aggressive,feedback,231.04420629201684,0.500617176381749,0.4995013227513227,637,0.783359497645212
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,uncompressed,choice,1.0,0.5410695857290284,0.4941401247207745,739,0.5399188092016238
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,uncompressed,feedback,1.0,0.5622488990770345,0.5018161047706503,742,0.8153638814016172
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,default,choice,103.806332940776,0.5325667108948843,0.5038061243484736,739,0.5399188092016238
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,default,feedback,103.806332940776,0.5423478313325693,0.4945754624163713,742,0.8153638814016172
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,aggressive,choice,259.38061012921645,0.5354562877782691,0.5030247580044676,739,0.5399188092016238
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,aggressive,feedback,259.38061012921645,0.5084695662665139,0.499078774760593,742,0.8153638814016172
6638cfb3-3831-4fc2-9327-194b76cf22e1,uncompressed,choice,1.0,0.6010741249649099,0.4975595820913921,524,0.5591603053435115
6638cfb3-3831-4fc2-9327-194b76cf22e1,uncompressed,feedback,1.0,0.5117647058823529,0.4991310160427807,528,0.8390151515151515
6638cfb3-3831-4fc2-9327-194b76cf22e1,default,choice,134.49565386434065,0.5745164960182025,0.5021755985512473,524,0.5591603053435115
6638cfb3-3831-4fc2-9327-194b76cf22e1,default,feedback,134.49565386434065,0.5142610543088567,0.5009451796551102,528,0.8390151515151515
6638cfb3-3831-4fc2-9327-194b76cf22e1,aggressive,choice,430.24106747159215,0.5998256578461356,0.4972224683727375,524,0.5591603053435115
6638cfb3-3831-4fc2-9327-194b76cf22e1,aggressive,feedback,430.24106747159215,0.5117647058823529,0.4998545935228023,528,0.8390151515151515
749cb2b7-e57e-4453-a794-f6230e4d0226,uncompressed,choice,1.0,0.5,0.5,765,0.6823529411764706
749cb2b7-e57e-4453-a794-f6230e4d0226,uncompressed,feedback,1.0,0.597416284208737,0.5039999551046063,767,0.7235984354628422
749cb2b7-e57e-4453-a794-f6230e4d0226,default,choice,103.00835525740854,0.4990421455938697,0.500539638932496,765,0.6823529411764706
749cb2b7-e57e-4453-a794-f6230e4d0226,default,feedback,103.00835525740854,0.6062935577086521,0.494740654275538,767,0.7235984354628422
749cb2b7-e57e-4453-a794-f6230e4d0226,aggressive,choice,254.4789394557996,0.4961685823754789,0.4999067896389324,765,0.6823529411764706
749cb2b7-e57e-4453-a794-f6230e4d0226,aggressive,feedback,254.4789394557996,0.6069309875913649,0.4986175211756607,767,0.7235984354628422
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,uncompressed,choice,1.0,0.7801422715215819,0.511225499092559,663,0.4313725490196078
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,uncompressed,feedback,1.0,0.8635105204872646,0.4969809634484475,663,0.7782805429864253
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,default,choice,83.45078428546363,0.7808656860380998,0.4989579854809438,663,0.4313725490196078
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,default,feedback,83.45078428546363,0.8333926593893372,0.5006112856566488,663,0.7782805429864253
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,aggressive,choice,230.75111243887915,0.7507234145165179,0.4985271324863884,663,0.4313725490196078
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,aggressive,feedback,230.75111243887915,0.7449770605916786,0.5016800687594963,663,0.7782805429864253
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,uncompressed,choice,1.0,0.5672768642051919,0.495738448392104,524,0.5591603053435115
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,uncompressed,feedback,1.0,0.5145000663922454,0.4998281559814937,528,0.8390151515151515
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,default,choice,97.29994366609304,0.585508916566937,0.5040338661358106,524,0.5591603053435115
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,default,feedback,97.29994366609304,0.4977426636568848,0.4995042961004625,528,0.8390151515151515
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,aggressive,choice,293.93842609886724,0.5595348905929111,0.494517962349514,524,0.5591603053435115
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,aggressive,feedback,293.93842609886724,0.5013676802549463,0.4989148215465962,528,0.8390151515151515
dab512bd-a02d-4c1f-8dbc-9155a163efc0,uncompressed,choice,1.0,0.526062224286046,0.4984123986735445,410,0.2878048780487804
dab512bd-a02d-4c1f-8dbc-9155a163efc0,uncompressed,feedback,1.0,0.7866497020854022,0.5020260272514371,410,0.7414634146341463
dab512bd-a02d-4c1f-8dbc-9155a163efc0,default,choice,105.66858366339106,0.528674251218946,0.4958914081095045,410,0.2878048780487804
dab512bd-a02d-4c1f-8dbc-9155a163efc0,default,feedback,105.66858366339106,0.6362648957298908,0.5026185508480591,410,0.7414634146341463
dab512bd-a02d-4c1f-8dbc-9155a163efc0,aggressive,choice,305.807524165004,0.5066751799396332,0.499629814330123,410,0.2878048780487804
dab512bd-a02d-4c1f-8dbc-9155a163efc0,aggressive,feedback,305.807524165004,0.5836022840119166,0.5027696579376908,410,0.7414634146341463
dc7e9403-19f7-409f-9240-05ee57cb7aea,uncompressed,choice,1.0,0.5651442829247125,0.5042347637302457,859,0.4877764842840512
dc7e9403-19f7-409f-9240-05ee57cb7aea,uncompressed,feedback,1.0,0.5616002407073092,0.5024977862375095,872,0.8692660550458715
dc7e9403-19f7-409f-9240-05ee57cb7aea,default,choice,82.28233698919261,0.573098828379258,0.4994743258749283,859,0.4877764842840512
dc7e9403-19f7-409f-9240-05ee57cb7aea,default,feedback,82.28233698919261,0.5399018654816461,0.4984415017351903,872,0.8692660550458715
dc7e9403-19f7-409f-9240-05ee57cb7aea,aggressive,choice,215.71015575143596,0.5087763072249946,0.4880813513795442,859,0.4877764842840512
dc7e9403-19f7-409f-9240-05ee57cb7aea,aggressive,feedback,215.71015575143596,0.5,0.5,872,0.8692660550458715
e8f9fba4-d151-4b00-bee7-447f0f3e752c,uncompressed,choice,1.0,0.5455480837646665,0.4952159977703456,771,0.5940337224383917
e8f9fba4-d151-4b00-bee7-447f0f3e752c,uncompressed,feedback,1.0,0.7266710327855839,0.5002127052195742,802,0.8054862842892768
e8f9fba4-d151-4b00-bee7-447f0f3e752c,default,choice,87.70651562306718,0.5265391966739679,0.5000983543883264,771,0.5940337224383917
e8f9fba4-d151-4b00-bee7-447f0f3e752c,default,feedback,87.70651562306718,0.5927204890053187,0.5004982742079751,802,0.8054862842892768
e8f9fba4-d151-4b00-bee7-447f0f3e752c,aggressive,choice,255.07177640961245,0.5087022336314299,0.5003265386242245,771,0.5940337224383917
e8f9fba4-d151-4b00-bee7-447f0f3e752c,aggressive,feedback,255.07177640961245,0.5065194093831865,0.4991596727306827,802,0.8054862842892768
eebcaf65-7fa4-4118-869d-a084e84530e2,uncompressed,choice,1.0,0.4990566037735849,0.4999503475670308,723,0.7330567081604425
eebcaf65-7fa4-4118-869d-a084e84530e2,uncompressed,feedback,1.0,0.8304103645432059,0.4978714953485597,724,0.7486187845303868
eebcaf65-7fa4-4118-869d-a084e84530e2,default,choice,125.65185945162406,0.5,0.5,723,0.7330567081604425
eebcaf65-7fa4-4118-869d-a084e84530e2,default,feedback,125.65185945162406,0.7690280199505292,0.5005993149112414,724,0.7486187845303868
eebcaf65-7fa4-4118-869d-a084e84530e2,aggressive,choice,419.7772805749999,0.5,0.5,723,0.7330567081604425
eebcaf65-7fa4-4118-869d-a084e84530e2,aggressive,feedback,419.7772805749999,0.6626860224646203,0.4958721565602299,724,0.7486187845303868
fe380793-8035-414e-b000-09bfe5ece92a,uncompressed,choice,1.0,0.5723218980616851,0.4951661549235078,945,0.4455026455026455
fe380793-8035-414e-b000-09bfe5ece92a,uncompressed,feedback,1.0,0.5353443314789949,0.4998608709038336,945,0.8486772486772487
fe380793-8035-414e-b000-09bfe5ece92a,default,choice,85.24565973276694,0.5867459338905913,0.4990345561301443,945,0.4455026455026455
fe380793-8035-414e-b000-09bfe5ece92a,default,feedback,85.24565973276694,0.5,0.5,945,0.8486772486772487
fe380793-8035-414e-b000-09bfe5ece92a,aggressive,choice,193.56112233215555,0.5998304654494026,0.4954246660202542,945,0.4455026455026455
fe380793-8035-414e-b000-09bfe5ece92a,aggressive,feedback,193.56112233215555,0.5,0.5,945,0.8486772486772487
1a276285-8b0e-4cc9-9f0a-a3a002978724,mild,choice,63.56365577070524,0.5016812865497077,0.5003298030471943,636,0.2830188679245283
1a276285-8b0e-4cc9-9f0a-a3a002978724,mild,feedback,63.56365577070524,0.5153422787604194,0.5027695526695526,637,0.783359497645212
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,mild,choice,63.94466979793832,0.5254828247088309,0.49919508562918835,739,0.5399188092016238
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,mild,feedback,63.94466979793832,0.5695481691500272,0.501561939743758,742,0.8153638814016172
6638cfb3-3831-4fc2-9327-194b76cf22e1,mild,choice,82.8713010423559,0.588087111977897,0.4977573041823841,524,0.5591603053435115
6638cfb3-3831-4fc2-9327-194b76cf22e1,mild,feedback,82.8713010423559,0.5095073695392378,0.5011103767349636,528,0.8390151515151515
749cb2b7-e57e-4453-a794-f6230e4d0226,mild,choice,65.71262475150273,0.5,0.5,765,0.6823529411764706
749cb2b7-e57e-4453-a794-f6230e4d0226,mild,feedback,65.71262475150273,0.5923550909399966,0.5000392834695161,767,0.7235984354628422
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,mild,choice,47.72132792037658,0.766517964793827,0.49058539019963704,663,0.43137254901960786
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,mild,feedback,47.72132792037658,0.869344249327638,0.4941181991621814,663,0.7782805429864253
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,mild,choice,55.29135303097874,0.5393451826898926,0.5025561664713982,524,0.5591603053435115
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,mild,feedback,55.29135303097874,0.5330367813039437,0.499045732440065,528,0.8390151515151515
dab512bd-a02d-4c1f-8dbc-9155a163efc0,mild,choice,69.5775817847441,0.5126247968423496,0.5007255747126437,410,0.28780487804878047
dab512bd-a02d-4c1f-8dbc-9155a163efc0,mild,feedback,69.5775817847441,0.7449726911618669,0.4935525867575047,410,0.7414634146341463
dc7e9403-19f7-409f-9240-05ee57cb7aea,mild,choice,47.714057625645694,0.5848611412453895,0.5009390484013979,859,0.48777648428405124
dc7e9403-19f7-409f-9240-05ee57cb7aea,mild,feedback,47.714057625645694,0.540989677359626,0.4974572470886139,872,0.8692660550458715
e8f9fba4-d151-4b00-bee7-447f0f3e752c,mild,choice,54.46907446871811,0.5306095400198111,0.4948285225371481,771,0.5940337224383917
e8f9fba4-d151-4b00-bee7-447f0f3e752c,mild,feedback,54.46907446871811,0.6634516154639993,0.5023356073393348,802,0.8054862842892768
eebcaf65-7fa4-4118-869d-a084e84530e2,mild,choice,80.45264014494734,0.5016472773487144,0.499364448857994,723,0.7330567081604425
eebcaf65-7fa4-4118-869d-a084e84530e2,mild,feedback,80.45264014494734,0.8377093386318478,0.5048262367872459,724,0.7486187845303868
fe380793-8035-414e-b000-09bfe5ece92a,mild,choice,54.54753158231462,0.5661502057986256,0.49860113660848954,945,0.4455026455026455
fe380793-8035-414e-b000-09bfe5ece92a,mild,feedback,54.54753158231462,0.5057461241999895,0.4995366379310344,945,0.8486772486772487
