from,to,feature,n_trans,n_probes,cohens_d,pval,pval_bonf
CNU,HY,psd_residual_gamma,26,21,0.0925,0.18021006262903372,1.0
HY,TH,psd_delta_csd_diff1,77,77,0.0923,4.35458423124047e-06,0.007054426454609562
OLF,Isocortex,psd_lfp_csd_diff1,69,64,0.0922,0.17752558231138038,1.0
fiber tracts,TH,rms_lf_no_car,21,21,0.092,0.23740917793836125,1.0
fiber tracts,HB,psd_alpha,16,16,0.0919,0.29261006364460007,1.0
root,fiber tracts,rms_ap,27,21,0.0918,0.0626693686407781,1.0
TH,MB,psd_beta_csd,52,42,0.0918,0.06865908907303406,1.0
HB,MB,psd_residual_beta,87,78,0.0914,0.018654978754930534,1.0
HB,CB,aperiodic_exponent,150,136,0.0909,0.0008429740512613852,1.0
Isocortex,void,cor_ratio,57,57,0.0905,0.0005800539394428139,0.9396873818973585
CTXsp,HPF,trough_val,28,28,0.0897,0.714155990053646,1.0
CTXsp,CNU,psd_residual_alpha,52,49,0.0895,0.03813037608231483,1.0
CTXsp,Isocortex,psd_beta_csd_diff1,18,13,0.0894,0.005278395618686311,1.0
OLF,CTXsp,psd_residual_delta,70,69,0.0892,0.01055729647489172,1.0
Isocortex,void,aperiodic_exponent,57,57,0.0892,0.2115276475171436,1.0
Isocortex,void_fluid,psd_gamma,107,107,0.0891,0.0259025315755961,1.0
fiber tracts,HB,psd_theta,16,16,0.089,0.5968010782339304,1.0
Isocortex,void,psd_theta,57,57,0.0885,0.07180223702474138,1.0
CTXsp,HPF,psd_delta_csd_diff1,28,28,0.0884,0.06432225766765708,1.0
OLF,Isocortex,rms_lf_csd_diff1,69,64,0.0883,0.1437449270540321,1.0
HY,TH,psd_residual_gamma,77,77,0.0877,0.13746647242506618,1.0
void_fluid,void,depolarisation_slope,121,120,0.0873,0.5595393656410919,1.0
OLF,CTXsp,psd_theta,70,69,0.0872,0.007512787409431796,1.0
TH,HPF,psd_residual_delta,198,198,0.0871,0.1608317729114077,1.0
Isocortex,void,psd_residual_lfp,57,57,0.0869,0.0003732413161547395,0.604650932170678
HB,CB,repolarisation_slope,150,136,0.0869,0.005812701649418028,1.0
CB,fiber tracts,psd_theta_csd,19,19,0.0868,0.014327288132508475,1.0
HY,TH,psd_residual_beta,77,77,0.0868,0.12672009335180331,1.0
fiber tracts,MB,psd_residual_delta,27,27,0.0866,0.10118053265558735,1.0
HY,CNU,aperiodic_exponent,32,27,0.0865,0.0060260256058334355,1.0
MB,Isocortex,psd_residual_lfp,43,43,0.0863,0.003937269863775578,1.0
HY,TH,rms_lf_csd,77,77,0.086,0.000668542107257006,1.0
MB,HY,depolarisation_slope,24,23,0.0859,0.8810555888746235,1.0
root,fiber tracts,aperiodic_offset,27,21,0.0855,0.085308282923793,1.0
TH,HPF,peak_time_secs,198,198,0.0853,1.5486763696854756e-96,2.5088557188904706e-93
Isocortex,void,psd_gamma_csd_diff1,57,57,0.0851,0.018088073989817394,1.0
root,fiber tracts,psd_lfp_csd,27,21,0.085,0.19706045389775573,1.0
Isocortex,void,psd_theta_csd_diff1,57,57,0.0848,0.046562772906325135,1.0
MB,Isocortex,psd_theta_csd,43,43,0.0846,0.027725910140243358,1.0
void_fluid,void,psd_delta_csd,121,120,0.0844,0.2820078042252371,1.0
TH,MB,psd_gamma_csd_diff1,52,42,0.0841,0.09281370554522722,1.0
MB,Isocortex,psd_residual_delta,43,43,0.0833,0.06116461143878249,1.0
HB,MB,psd_gamma,87,78,0.0831,0.015882312150469837,1.0
OLF,Isocortex,psd_theta_csd,69,64,0.0831,0.03695036712819011,1.0
fiber tracts,TH,psd_delta,21,21,0.0829,0.40156937030794315,1.0
HY,TH,psd_gamma,77,77,0.0828,0.5979254672067116,1.0
CNU,HY,psd_gamma,26,21,0.0825,0.09911203356726386,1.0
TH,MB,psd_delta_csd,52,42,0.0824,0.05489296394573008,1.0
Isocortex,void,psd_alpha,57,57,0.0816,0.08856735495723086,1.0
CB,void_fluid,psd_gamma_csd_diff1,29,29,0.0813,0.16793056628979264,1.0
MB,Isocortex,psd_residual_beta,43,43,0.0813,0.09602477454102303,1.0
CTXsp,Isocortex,peak_time_secs,18,13,0.0811,0.49021136877682836,1.0
HB,CB,depolarisation_slope,150,136,0.081,0.14157497908360098,1.0
fiber tracts,root,rms_lf,17,13,0.0808,0.08274173808729614,1.0
TH,MB,rms_lf,52,42,0.0806,0.17867079017792675,1.0
fiber tracts,root,psd_delta_csd,17,13,0.0806,0.4358833917928189,1.0
HY,TH,psd_lfp_csd,77,77,0.0805,0.0007105541616842131,1.0
CNU,OLF,psd_lfp_csd,33,30,0.0803,0.293797917597179,1.0
CNU,TH,psd_residual_lfp,22,22,0.0803,0.331539976633319,1.0
CTXsp,Isocortex,trough_time_secs,18,13,0.0803,0.8923994173169961,1.0
void_fluid,void,psd_theta_csd,121,120,0.0801,0.06930577858042157,1.0
HY,CNU,rms_lf,32,27,0.0799,0.07087431704864612,1.0
Isocortex,void,psd_alpha_csd_diff1,57,57,0.0798,0.007179873306310115,1.0
CNU,OLF,psd_alpha_csd,33,30,0.0795,0.40120775520055174,1.0
MB,Isocortex,tip_time_secs,43,43,0.0794,0.15726535092292404,1.0
OLF,Isocortex,psd_beta_csd_diff1,69,64,0.0793,0.34215225624242085,1.0
fiber tracts,root,peak_val,17,13,0.0793,0.5946214386923929,1.0
OLF,CNU,recovery_time_secs,18,15,0.0792,0.5512744812953421,1.0
fiber tracts,HB,psd_residual_beta,16,16,0.0792,0.13019302575721475,1.0
