boundary,rms_lf,psd_lfp,psd_alpha,psd_beta,psd_gamma,psd_delta,psd_theta,psd_lfp_csd,psd_alpha_csd,psd_beta_csd,psd_gamma_csd,psd_delta_csd,psd_theta_csd,rms_lf_csd,psd_residual_lfp,psd_residual_alpha,psd_residual_beta,psd_residual_gamma,psd_residual_delta,psd_residual_theta,decay_fit_error,decay_fit_r_squared,decay_n_peaks,aperiodic_exponent,aperiodic_offset,cor_ratio,rms_ap,alpha_mean,alpha_std,spike_count,tip_time_secs,recovery_time_secs,peak_time_secs,trough_time_secs,trough_val,tip_val,peak_val,recovery_slope,depolarisation_slope,repolarisation_slope,polarity,n_voxels
Isocortex-HPF,0.3762458850063296,0.36728783846329627,0.5417911471750604,0.23530788039240103,0.1882896554404782,0.3847998864974014,0.5333804808915461,0.1373817307335243,0.04271367831708691,0.12122901875426455,0.09948679095459696,-0.0388784519255198,0.04749765925538424,0.08377194872947452,0.08279612102405648,1.2279595230862985,0.5837186365992978,-0.11251013808687098,-0.6013039699302474,1.301205238093881,0.8388231005803477,0.6191456671929022,-0.1923369178913487,1.3034475247459827,0.5498756501530134,-0.3190684062680259,-0.4468145591922255,0.2730375850651313,0.38753413124657266,-0.19467848432632126,-0.4499973045493689,0.755683657124473,-0.021263526540486095,0.7504778856985835,0.7514356621021938,0.49119795298067226,-0.7223279908145892,0.11975652566341399,-0.2559695149162619,0.10143871403017013,-0.30510633828236194,29892
Isocortex-OLF,0.7559028109029118,0.7131598196055762,0.481845965359033,0.6305997549547899,0.7950256167674858,0.815706289638186,0.5780325805076116,-0.18927660689016354,-0.3299631164810898,-0.04623344374561943,-0.087317679405614,-0.34001409454141696,-0.39103562573601225,-0.22361913565762898,0.6682907749293058,-1.1364604185633358,-0.3786616932346914,0.8572865705708901,0.47334145667323385,-0.9372672399974735,0.24886340111764566,-0.08858046126409233,0.29206462219231183,0.06098450075978605,0.706781191466551,-0.5836220033452735,-0.6140661877204031,0.333050391862215,0.24942635682992698,-1.0242569992451156,-0.7033819339013765,0.8673548968710284,-0.6640906346297798,0.8855802498615352,-0.07149578096801637,-0.13216655515797882,0.001649541528056734,0.6427176195462191,0.7421524959916779,-0.8051467821732468,0.16526909811044313,45220
OLF-HPF,1.1093828547147764,0.9725199943103628,1.000636996263216,0.8031055876097336,0.9831213688486383,0.9638162885314557,0.9099638739519839,0.5215742806899741,0.44782309773228524,0.6400432418124882,0.40752116475855543,0.2604733149539992,0.4470605725237199,0.4987662666561959,1.3916925697428797,-0.38928699003216055,-0.052611616936424195,1.4813610595671887,-0.6313974628167258,-0.3351297167829821,-0.58073875956129,0.3710372275622702,1.2538600256969301,0.4804657117577306,0.9819937315677598,-0.06546394451556163,-0.6167699714715946,1.4991735951404492,2.0282703523866696,-1.2374531715344805,-2.008570855995343,1.7016096921275294,-1.6798366135824383,1.6451469000902068,0.08800941866840742,-1.0761424601131262,-0.08753029336778177,1.413197062582019,1.2646471331948064,-1.0932313702194245,1.1929949376661988,10026
HPF-CTXsp,1.0701289191421939,0.9930844878530549,1.0169725601878405,0.8740498672495693,0.734612958435361,1.0747635438651852,1.007597496360793,0.2834879429014621,0.26346570751853776,0.4024395689899188,0.27891368080611156,-0.04642238433255992,0.15024626372235086,0.29783516393109827,-0.22636935139649209,0.3397845801758214,0.6087151453088052,-0.13890554949886827,-0.735105908111832,0.1885037808665743,-0.4610835980566969,1.0727332733145978,0.6964619694629525,1.7323928777056306,1.2918268541127307,-0.9151640781024755,-0.9635799077106894,-0.007072789142938626,0.38059740859306346,-1.5769556268804494,-1.3462315360877877,1.081700295786873,-1.540866531517623,1.0830752879792396,-1.3486625662185103,-1.2610021288623605,0.997825622744796,1.8502719900667732,1.761835400410042,-1.8711418072429542,1.7111086758477674,7825
Isocortex-CTXsp,-0.2165053129017384,-0.20943663141240654,-0.35608915867706464,-0.09167791291249702,0.20049321708066592,-0.38897586745958,-0.43218831434996163,-0.4906250523643457,-0.5257233063200839,-0.47275433494436253,-0.40595358747041094,-0.5401144991119118,-0.5003873394802547,-0.5528359377082327,1.2234508686651246,-1.263179628839035,-0.06467918574204672,1.4019151904223448,0.014728675471878262,-1.375471849065133,-1.496301451445114,-0.18260500212896297,1.2923723831102294,-1.6724754409945568,-0.46854053484730285,-0.8559087537969748,-0.565429753917021,-0.04406219667187079,0.1676253821423181,-0.1179994441950076,0.09251769892279336,0.9245278243340691,0.5014774460652897,0.9800780946434223,0.9446318861338203,1.7826223848561356,-1.538872121786624,0.32415777075182434,-1.037182170914767,-0.3820432850697507,-1.0904865484577047,23895
OLF-CTXsp,0.7558862471872843,0.7485500069590518,0.5848748282632837,0.7508085738087451,0.8775077203153266,0.5793679429561651,0.5881986689845926,-0.19582076940648813,-0.2526092253291737,-0.10189355479706923,-0.09171323861068473,-0.31522002370044433,-0.3251629371840323,-0.246496400502676,1.8819378468906944,-0.30934387736488855,0.47110947408161846,1.7764337205135337,-0.4171099408204369,-0.4142089093326078,-1.0276923999534564,0.30199698968903566,1.6862422414955134,-0.1596098648754667,0.6651369894542232,-0.03686201926248757,-0.5923725702747409,1.0575484574500902,1.483160303308908,-0.6450683108399704,-1.0890995376319965,1.1526723566535,-0.517631834714979,1.1791238910937736,1.4036978849850763,0.5777335841121368,-1.408855987049375,0.4514293046273243,0.0022423764793569213,-0.24625341985702062,-0.6779621659774663,60904
CTXsp-CNU,-0.15369363277802753,-0.0987244669926227,-0.20021111303312403,-0.0669257251971489,0.031520553711092796,-0.2708108079995193,-0.17837113491707202,-0.5892783724239838,-0.5623595670511868,-0.5573996030785472,-0.46905174471722727,-0.6046043098240055,-0.6190673017814663,-0.5967441461842156,1.4496702109582236,-0.04619776708066551,0.6985383846235913,1.2093587458655741,-0.60757611064072,-0.35397159728659344,-1.019025174360029,0.587085653635981,1.435819779051991,0.22631447347167752,-0.06578018819836329,-0.7294434193922745,-0.7168704382728955,-0.20489055877733445,-0.1026198047045363,-0.6705358371980552,-0.4075789684750425,0.6146187242914686,-0.32313822026909017,0.6326150335191866,0.4025048941693358,0.49902146373425854,-0.4555721484429263,0.5432106568210084,0.16736293051977744,-0.4140785669110151,-0.4509655675255479,28279
Isocortex-CNU,-0.13643631155868713,-0.22241026642189285,-0.22814383233385296,0.01638647206570494,0.13904668754409552,-0.2690726932982512,-0.28354900179139136,-0.5677524816608999,-0.6141015534027658,-0.5211509378199309,-0.4588878635374131,-0.6178872767970701,-0.612807401649211,-0.5574242293346913,0.6068853818391111,-0.9365194459792888,0.12160250799799924,0.693946774744236,0.03614273522976517,-0.9504035377523101,-1.148563819940047,0.01934517033251412,0.8421864551851681,-1.1269029237272445,-0.32735864325470915,-0.5007433814199684,-0.3133731849840593,-0.13261150515364611,0.08364046007626988,0.5231303016798071,0.5388715775378332,0.42337447683565466,0.853654829603141,0.4348396660105806,0.34506984881265773,1.5592922243199483,-1.0127014172032518,0.17311361279202883,-1.0551440105376135,-0.18739300232765724,-0.9187903280445535,1024
HB-CB,-0.704052071002113,-0.8712229891819573,-1.1148583505348788,-1.0921038160137106,-0.9274602669694489,-0.7576289671283167,-1.1606554743182127,0.28207700687672516,0.4946860715304015,0.27706298061065926,0.12151351713807759,0.6754406510238966,0.5629713943727997,0.42626453394710645,-0.04188666472467454,-0.9839550554280226,-2.4094449936253413,0.022561545093957164,3.1618810311974954,-0.733194859906539,2.292761265151392,-2.35012288247934,-1.3625545619861417,-1.8084053642531925,-1.3509576408470438,2.893374041181977,1.9112995096105303,1.8904061379231223,1.022874814776361,0.8372546252609919,0.7386402038772111,-1.552765732275056,-1.3518369875780605,-1.6121784808917732,-0.7290744470469857,-1.1333733730838427,0.9539420941373614,-0.8862063498230381,-0.05394177647157016,1.086642299581471,0.13822084395306491,12283
OLF-CNU,0.6179601871575805,0.5975684763716175,0.32599778363451587,0.6566219844533744,0.8048385717830596,0.6300345007332503,0.4211480324241078,-0.35830562063692883,-0.43624757252340723,-0.26053706801821613,-0.2498174528873231,-0.3983174001744889,-0.5060312231983706,-0.40537172961230633,1.5615462107474503,-0.7964431041172522,0.45113520303083016,1.4957920310902337,0.2900486203593716,-1.0465080417455657,-0.5607298050024483,0.07923173379881121,1.1653554076542731,-0.43235852561478905,0.4784778641660559,0.43490380709164866,-0.04520333184271885,0.8712858171665137,1.0210674291729245,-0.13363025437916234,-0.4213698618876767,0.5611306955254202,0.2239377071833819,0.631938067862435,1.7710624659829455,1.3476479406421624,-1.9417159207630825,-0.48146449915914247,-0.8252752535284346,0.6434970776798679,-1.4927503135460936,42516
