,void,VS,MB,Isocortex,CB,TH,CNU,OLF,CTXsp,root,fiber tracts,HB,HPF,HY,void_fluid
void,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2
VS,0,0,12,0,55,6,31,2,0,35,79,7,5,5,0
MB,0,18,0,2,3,98,0,0,0,66,173,7,1,24,44
Isocortex,59,0,0,0,0,0,0,5,9,0,44,0,2,0,110
CB,4,4,22,0,0,0,0,0,0,6,238,14,0,0,35
TH,0,28,51,0,0,0,1,0,0,94,196,0,19,0,0
CNU,0,54,0,0,0,2,0,31,5,4,200,0,0,21,0
OLF,0,2,0,64,0,0,16,0,69,0,13,0,6,0,2
CTXsp,0,1,0,15,0,0,36,5,0,12,39,0,5,0,0
root,0,23,15,6,21,8,5,0,0,0,103,3,224,1,12
fiber tracts,0,49,158,429,262,132,114,9,11,153,0,155,156,20,9
HB,0,60,76,0,42,0,0,0,0,22,181,0,0,0,3
HPF,0,2,1,48,0,0,0,0,3,23,343,0,0,0,16
HY,0,4,16,0,0,56,28,0,0,1,34,0,0,0,0
void_fluid,120,0,0,42,11,0,3,11,1,9,2,9,45,0,0
